iter	Passed	Remaining
423	1992	2706
424	1996	2701
425	2001	2696
426	2005	2691
427	2010	2686
428	2014	2681
429	2019	2676
430	2023	2671
431	2027	2666
432	2032	2660
433	2036	2655
434	2040	2650
435	2044	2645
436	2048	2639
437	2053	2634
438	2057	2629
439	2061	2623
440	2066	2619
441	2071	2614
442	2075	2609
443	2079	2604
444	2083	2599
445	2087	2593
446	2092	2588
447	2096	2583
448	2100	2577
449	2105	2572
450	2109	2567
451	2113	2562
452	2117	2557
453	2122	2552
454	2127	2547
455	2131	2542
456	2135	2537
457	2139	2532
458	2143	2526
459	2147	2521
460	2151	2516
461	2156	2510
462	2160	2505
463	2164	2500
464	2168	2495
465	2173	2490
466	2177	2485
467	2182	2480
468	2186	2475
469	2191	2470
470	2196	2466
471	2201	2462
472	2205	2457
473	2210	2452
474	2214	2447
475	2218	2442
476	2223	2437
477	2227	2432
478	2231	2427
479	2235	2421
480	2239	2416
481	2243	2411
482	2248	2406
483	2252	2401
484	2257	2397
485	2261	2391
486	2265	2386
487	2270	2381
488	2274	2376
489	2278	2371
490	2282	2366
491	2287	2361
492	2291	2356
493	2295	2351
494	2299	2346
495	2304	2341
496	2308	2336
497	2313	2331
498	2317	2326
499	2321	2321
500	2326	2316
501	2330	2311
502	2334	2306
503	2338	2301
504	2342	2296
505	2347	2291
506	2351	2286
507	2355	2281
508	2359	2276
509	2364	2271
510	2368	2266
511	2373	2262
512	2377	2257
513	2381	2252
514	2386	2247
515	2390	2242
516	2394	2236
517	2398	2231
518	2402	2226
519	2407	2222
520	2411	2216
521	2415	2212
522	2420	2207
523	2424	2202
524	2429	2197
525	2433	2193
526	2438	2188
527	2443	2184
528	2448	2180
529	2453	2175
530	2457	2170
531	2462	2166
532	2466	2161
533	2471	2156
534	2476	2152
535	2480	2147
536	2484	2142
537	2489	2138
538	2494	2133
539	2499	2128
540	2503	2124
541	2508	2119
542	2512	2114
543	2516	2109
544	2520	2104
545	2524	2099
546	2529	2094
547	2533	2089
548	2537	2084
549	2541	2079
550	2546	2075
551	2551	2070
552	2556	2066
553	2560	2061
554	2564	2056
555	2568	2051
556	2573	2046
557	2577	2041
558	2581	2036
559	2585	2031
560	2590	2027
561	2595	2022
562	2599	2017
563	2603	2012
564	2607	2007
565	2612	2002
566	2616	1998
567	2620	1993
568	2625	1988
569	2629	1983
570	2633	1978
571	2637	1973
572	2642	1968
573	2646	1964
574	2650	1959
575	2654	1954
576	2659	1949
577	2663	1944
578	2668	1939
579	2672	1935
580	2677	1931
581	2682	1926
582	2687	1922
583	2691	1917
584	2695	1912
585	2700	1907
586	2704	1903
587	2709	1898
588	2713	1893
589	2717	1888
590	2722	1883
591	2726	1879
592	2730	1874
593	2735	1869
594	2740	1865
595	2745	1861
596	2750	1856
597	2754	1851
598	2759	1847
599	2763	1842
600	2767	1837
601	2772	1833
602	2776	1828
603	2781	1823
604	2785	1818
605	2789	1813
606	2794	1809
607	2799	1804
608	2804	1800
609	2808	1795
610	2813	1790
611	2817	1786
612	2821	1781
613	2826	1776
614	2830	1771
615	2835	1767
616	2839	1762
617	2844	1757
618	2848	1753
619	2852	1748
620	2857	1743
621	2862	1739
622	2866	1734
623	2871	1730
624	2875	1725
625	2879	1720
626	2884	1715
627	2888	1711
628	2893	1706
629	2897	1701
630	2902	1697
631	2906	1692
632	2911	1687
633	2915	1683
634	2920	1678
635	2924	1674
636	2929	1669
